Customer_ID,City,Gender,Age,Subscription_Plan,Tenure_Months,Total_Orders,Avg_Order_Value,Total_Spend,Support_Tickets,Satisfaction_Score,Days_Since_Last_Purchase,Churn,Age_Group,Customer_Segment,Purchase_Risk,Support_Risk,Satisfaction_Risk,Risk_Score,Risk_Level
CUST1001,Hyderabad,Male,23,Basic,42,9,1824.04,16416.36,2,4.0,26,No,18-25,Medium Value,0,0,0,0,Low
CUST1002,Mumbai,Male,23,Basic,30,12,2824.58,33894.96,0,4.9,46,No,18-25,VIP,0,0,0,0,Low
CUST1003,Pune,Female,20,Standard,57,3,3864.15,11592.45,0,4.2,118,No,18-25,Medium Value,0,0,0,0,Low
CUST1004,Hyderabad,Male,24,Basic,55,4,4032.3,16129.2,3,5.0,46,No,18-25,Medium Value,0,1,0,1,Medium
CUST1005,Delhi,Male,25,Standard,16,9,2332.17,20989.53,6,4.9,14,No,18-25,High Value,0,1,0,1,Medium
CUST1006,Jaipur,Female,59,Premium,12,7,3359.37,23515.59,2,3.2,85,No,51-60,High Value,0,0,0,0,Low
CUST1007,Pune,Female,32,Basic,17,11,1629.11,17920.21,1,4.2,63,No,26-35,Medium Value,0,0,0,0,Low
CUST1008,Pune,Female,46,Premium,16,9,1737.18,15634.62,3,3.5,72,No,36-50,Medium Value,0,1,0,1,Medium
CUST1009,Hyderabad,Female,50,Premium,12,16,1116.75,17868.0,2,4.6,3,No,36-50,Medium Value,0,0,0,0,Low
CUST1010,Bhopal,Male,47,Basic,8,10,2660.18,26601.8,1,3.5,28,No,36-50,High Value,0,0,0,0,Low
CUST1011,Delhi,Female,56,Premium,20,5,1621.17,8105.85,2,2.9,125,No,51-60,Low Value,1,0,1,2,High
CUST1012,Hyderabad,Other,44,Standard,3,6,654.36,3926.16,3,4.8,157,Yes,36-50,Low Value,1,1,0,2,High
CUST1013,Delhi,Male,53,Premium,16,4,3177.03,12708.12,2,3.9,87,No,51-60,Medium Value,0,0,0,0,Low
CUST1014,Delhi,Male,46,Standard,30,10,3272.56,32725.6,3,3.0,146,Yes,36-50,VIP,1,1,0,2,High
CUST1015,Jaipur,Female,55,Standard,45,9,1811.97,16307.73,2,3.2,163,Yes,51-60,Medium Value,1,0,0,1,Medium
CUST1016,Pune,Female,50,Standard,23,11,622.24,6844.64,0,3.0,77,No,36-50,Low Value,0,0,0,0,Low
CUST1017,Mumbai,Female,54,Premium,28,7,2090.45,14633.15,4,2.7,76,No,51-60,Medium Value,0,1,1,2,High
CUST1018,Jaipur,Female,44,Standard,51,10,2157.81,21578.1,2,3.2,175,No,36-50,High Value,1,0,0,1,Medium
CUST1019,Jaipur,Male,50,Standard,40,8,3108.42,24867.36,1,3.9,114,No,36-50,High Value,0,0,0,0,Low
CUST1020,Delhi,Male,21,Premium,54,12,1624.75,19497.0,2,3.7,133,Yes,18-25,High Value,1,0,0,1,Medium
CUST1021,Bengaluru,Female,39,Basic,5,7,3166.92,22168.44,0,3.2,75,No,36-50,High Value,0,0,0,0,Low
CUST1022,Pune,Female,19,Basic,20,9,3960.25,35642.25,1,4.9,59,No,18-25,VIP,0,0,0,0,Low
CUST1023,Bhopal,Female,27,Basic,40,8,1297.44,10379.52,2,1.8,59,No,26-35,Low Value,0,0,1,1,Medium
CUST1024,Jaipur,Female,22,Basic,56,7,4411.46,30880.22,1,3.9,47,No,18-25,VIP,0,0,0,0,Low
CUST1025,Mumbai,Male,27,Basic,44,10,1922.75,19227.5,1,3.5,95,No,26-35,Medium Value,0,0,0,0,Low
CUST1026,Bengaluru,Male,50,Premium,1,11,1422.49,15647.39,1,2.7,141,No,36-50,Medium Value,1,0,1,2,High
CUST1027,Bengaluru,Female,55,Basic,57,11,2070.35,22773.85,0,3.9,78,No,51-60,High Value,0,0,0,0,Low
CUST1028,Bhopal,Female,30,Standard,30,5,696.47,3482.35,0,3.4,113,No,26-35,Low Value,0,0,0,0,Low
CUST1029,Jaipur,Female,48,Basic,21,12,827.96,9935.52,2,4.7,109,No,36-50,Low Value,0,0,0,0,Low
